,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
838,"frozenset({'gender_F', 'education_Partial High School', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.023599787842500396,0.6473100288162377,0.015091615951181903,0.6394810009267841,0.987905288747386,-0.000184763397204123,0.9782840074737263,-0.012383422769948091
839,"frozenset({'homeowner_N', 'gender_F', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.070050250706736,0.6473100288162377,0.045438887157362905,0.6486613066895637,1.0020875280980848,9.46573538009518e-05,1.0038460832782004,0.0022400988915065906
840,"frozenset({'homeowner_Y', 'gender_F', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.09161595118190319,0.6473100288162377,0.05934942012106101,0.6478066248880932,1.0007671688213509,4.549612147623089e-05,1.0014100096905505,0.0008438949643789624
841,"frozenset({'recyclable_N', 'gender_F', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.07052049671101196,0.6473100288162377,0.04469524231339162,0.6337908040629604,0.9791147608542379,-0.0009533824447489209,0.9630833280450949,-0.022434273197532
842,"frozenset({'recyclable_Y', 'gender_F', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.09114570517762723,0.6473100288162377,0.06009306496503229,0.6593076969224309,1.0185346550680419,0.0010935359200261105,1.0352155537351884,0.020022321662943342
843,"frozenset({'homeowner_N', 'gender_M', 'education_High School Degree'})",frozenset({'yearly_income_$30K - $50K'}),0.05741922431281202,0.3291722029931705,0.04552637478606541,0.7928768688696315,2.408699342350246,0.02662556222485806,3.238787446606307,0.6204647880042897
844,"frozenset({'homeowner_N', 'gender_M', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.07159222016261763,0.29537463843003453,0.04552637478606541,0.6359123195600703,2.1529008818768274,0.0243798486411288,1.935317780372469,0.5768051969129971
845,"frozenset({'homeowner_Y', 'gender_M', 'education_High School Degree'})",frozenset({'yearly_income_$30K - $50K'}),0.08858122406128509,0.3291722029931705,0.06286532919954288,0.7096913580246913,2.155988116771256,0.033706852531458026,2.310740019457928,0.5882867078226125
846,"frozenset({'homeowner_Y', 'gender_M', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.09591378094191368,0.29537463843003453,0.06286532919954288,0.6554358360412748,2.218998352482209,0.034534830833367586,2.0449757556748454,0.6076259170073883
847,"frozenset({'recyclable_N', 'gender_M', 'education_High School Degree'})",frozenset({'yearly_income_$30K - $50K'}),0.06394252062794245,0.3291722029931705,0.04719957568500079,0.7381563194800753,2.242462494609213,0.026151475304964727,2.5619399928797733,0.5919098701324814
848,"frozenset({'recyclable_N', 'gender_M', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.07345680024933975,0.29537463843003453,0.04719957568500079,0.6425487568855144,2.175368746283595,0.025502299871124796,1.971248876995193,0.5831436901540838
849,"frozenset({'gender_M', 'education_High School Degree', 'recyclable_Y'})",frozenset({'yearly_income_$30K - $50K'}),0.08205792774615464,0.3291722029931705,0.061192128300607496,0.7457186646231759,2.265436321300337,0.03418093945135136,2.6381322719291123,0.6085176242659449
850,"frozenset({'recyclable_Y', 'gender_M', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.09404920085519157,0.29537463843003453,0.061192128300607496,0.650639534883721,2.2027603261470876,0.033412379603371595,2.0169006854723595,0.6027083883752625
851,"frozenset({'low_fat_N', 'gender_M', 'education_High School Degree'})",frozenset({'yearly_income_$30K - $50K'}),0.09406560478557328,0.3291722029931705,0.06984246758856755,0.7424867755624018,2.2556180892886832,0.03887868523541547,2.6050227069770844,0.6144623059611309
852,"frozenset({'low_fat_N', 'gender_M', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.10826594051934843,0.29537463843003453,0.06984246758856755,0.6451010101010101,2.1840094787075475,0.037863454553377376,1.9854250973509768,0.607946420306155
853,"frozenset({'gender_M', 'education_High School Degree', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.10839170398560828,0.6473100288162377,0.06984246758856755,0.644352519800232,0.9954310780239043,-0.0003205694417976468,0.991684155854712,-0.005121515414161222
854,"frozenset({'gender_M', 'low_fat_Y', 'education_High School Degree'})",frozenset({'yearly_income_$30K - $50K'}),0.05193484358852381,0.3291722029931705,0.038549236397040734,0.7422615287428933,2.2549338066625673,0.021453729520900616,2.60274608495542,0.5870145089730824
855,"frozenset({'gender_M', 'low_fat_Y', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.05924006058518288,0.29537463843003453,0.038549236397040734,0.6507291858962526,2.2030638424307067,0.021051224921119,2.0174183845795475,0.5804740056529335
856,"frozenset({'homeowner_N', 'gender_M', 'education_Partial College'})",frozenset({'yearly_income_$30K - $50K'}),0.018968411498061603,0.3291722029931705,0.01456669017896688,0.7679446526376477,2.332957174556992,0.008322816378868956,2.890809475548684,0.5824068017765276
